icao24,callsign,altitude,velocity,heading,latitude,longitude,altitude_rate,heading_change,acceleration,abnormal,s3raphim_anomaly_flag,timestamp
8e277f,KL442,37.0,18.0,88.0,5.1746,9.5543,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306004Z
11a50f,BA393,50.0,5.0,255.0,8.0327,7.1245,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306043Z
894145,AA134,44.0,26.0,84.0,10.9593,13.2148,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306055Z
e8d6dd,KL798,36926.0,385.0,282.0,10.1358,10.4206,-293.0,0.0,0.0,1,0,2026-09-10T14:37:34.306067Z
2ccce6,DL367,25319.0,370.0,306.0,10.5066,7.156,1076.0,0.0,0.0,1,0,2026-09-10T14:37:34.306079Z
ab5c25,UA582,14221.0,411.0,23.0,12.6391,7.2362,-1561.0,0.0,0.0,1,0,2026-09-10T14:37:34.306092Z
c3829e,BA983,33.0,12.0,183.0,11.0645,6.4758,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306122Z
f1a5fa,SQ321,72000.0,434.0,12.0,10.5024,3.7575,-50.0,0.0,0.0,0,1,2026-09-10T14:37:34.306135Z
216f4c,UA420,17144.0,518.0,353.0,4.9055,5.1676,885.0,0.0,0.0,1,0,2026-09-10T14:37:34.306152Z
be1de0,EK967,34573.0,276.0,109.0,7.3375,11.5064,1699.0,0.0,0.0,1,0,2026-09-10T14:37:34.306163Z
231639,DL789,15638.0,311.0,5.0,12.9055,10.3799,-338.0,0.0,0.0,1,0,2026-09-10T14:37:34.306174Z
2a27d9,KL993,0.0,27.0,8.0,13.2632,10.0771,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306185Z
bb2dd3,QR598,48.0,30.0,250.0,4.8475,12.1348,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306192Z
4625aa,DL310,38204.0,519.0,129.0,7.7514,5.8808,-963.0,0.0,0.0,1,0,2026-09-10T14:37:34.306198Z
d10219,KL818,10634.0,304.0,349.0,12.869,12.9991,462.0,0.0,0.0,1,0,2026-09-10T14:37:34.306205Z
c7656e,DL919,16.0,8.0,130.0,8.9848,5.541,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306212Z
27943f,BA475,30251.0,514.0,216.0,11.1594,6.416,-1188.0,0.0,0.0,1,0,2026-09-10T14:37:34.306222Z
e304fd,AA965,22.0,8.0,318.0,6.749,6.6281,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306228Z
525e62,UA147,25436.0,454.0,246.0,9.7424,3.4897,1042.0,0.0,0.0,1,0,2026-09-10T14:37:34.306238Z
2490a7,SQ314,18.0,1.0,357.0,8.9862,11.1195,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306244Z
9262e6,UA812,45.0,30.0,22.0,9.3262,10.0844,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306251Z
2d204a,AA738,26.0,11.0,5.0,5.079,12.4962,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306258Z
8fb06c,BA639,17.0,23.0,211.0,9.8471,5.4204,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306264Z
a7d844,SQ932,10138.0,410.0,255.0,7.1443,7.7152,1136.0,0.0,0.0,1,0,2026-09-10T14:37:34.306271Z
ad7c8c,QR746,39018.0,281.0,283.0,10.3234,7.1926,-1396.0,0.0,0.0,1,0,2026-09-10T14:37:34.306277Z
d4fb35,QR855,31184.0,426.0,168.0,10.85,7.9776,1287.0,0.0,0.0,1,0,2026-09-10T14:37:34.306284Z
04055f,DL512,10.0,7.0,321.0,9.3991,2.8961,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306290Z
7d79fd,LH587,17.0,16.0,109.0,11.7791,3.8267,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306297Z
55687e,QR967,48.0,25.0,22.0,11.5315,3.5101,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306303Z
6502e9,AF897,38157.0,296.0,279.0,8.9973,12.8102,-866.0,0.0,0.0,1,0,2026-09-10T14:37:34.306309Z
9e0fab,AA142,29.0,21.0,176.0,9.0403,6.3756,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306315Z
0151ba,QR894,36981.0,397.0,40.0,10.7697,7.9989,972.0,0.0,0.0,1,0,2026-09-10T14:37:34.306322Z
1e18e5,DL851,23.0,3.0,31.0,8.2378,3.5848,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306328Z
bf357a,UA768,29847.0,280.0,276.0,11.1847,2.5646,1804.0,0.0,0.0,1,0,2026-09-10T14:37:34.306335Z
9a8ff8,QR863,0.0,23.0,75.0,6.2383,3.2029,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306341Z
edc612,SQ392,24.0,5.0,259.0,12.5321,3.27,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306347Z
7e0f6e,EK333,7188.0,388.0,167.0,9.5414,7.0413,-392.0,0.0,0.0,1,0,2026-09-10T14:37:34.306355Z
ebbb32,UA498,20.0,22.0,220.0,12.3514,3.0822,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306361Z
cc3acd,LH234,26324.0,356.0,256.0,5.0746,6.0907,1598.0,0.0,0.0,1,0,2026-09-10T14:37:34.306367Z
a93862,KL291,6.0,20.0,81.0,7.4158,6.605,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306373Z
d7768d,BA187,50.0,17.0,96.0,5.3517,9.6358,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306380Z
80d947,EK240,9.0,18.0,349.0,10.9434,9.7164,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306386Z
ae337e,BA218,21814.0,271.0,79.0,4.3604,14.2031,-650.0,0.0,0.0,1,0,2026-09-10T14:37:34.306392Z
598973,DL599,13.0,7.0,299.0,9.3722,8.5179,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306399Z
478cc0,,49.0,8.0,339.0,6.1766,5.2552,0.0,0.0,0.0,0,1,2026-09-10T14:37:34.306406Z
2a7f78,BA275,36.0,28.0,295.0,9.9586,2.7072,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306415Z
98d1ac,QR345,39.0,7.0,341.0,4.0333,7.2433,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306423Z
184a7f,UA259,23559.0,446.0,49.0,9.9252,2.754,-535.0,0.0,0.0,1,0,2026-09-10T14:37:34.306429Z
c14ff1,DL839,30.0,18.0,225.0,7.4709,3.6229,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306435Z
ffc799,SQ183,4.0,7.0,195.0,4.0097,11.1543,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306442Z
85e4de,KL129,25.0,5.0,87.0,5.4175,4.0359,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306448Z
4848a6,UA137,8602.0,516.0,7.0,4.5939,10.3984,1136.0,0.0,0.0,1,0,2026-09-10T14:37:34.306456Z
0bc390,UA248,32874.0,504.0,79.0,5.4411,4.9678,-1796.0,0.0,0.0,1,0,2026-09-10T14:37:34.306464Z
27741e,QR356,32259.0,425.0,221.0,4.2012,10.8052,1995.0,0.0,0.0,1,0,2026-09-10T14:37:34.306471Z
8c3110,UA735,19300.0,390.0,313.0,5.5247,5.3628,-919.0,0.0,0.0,1,0,2026-09-10T14:37:34.306478Z
3c51e9,AF396,28.0,15.0,271.0,6.3001,3.9083,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306486Z
0e2f12,BA365,28.0,3.0,265.0,12.4889,11.8348,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306493Z
e469b3,AA712,14802.0,369.0,81.0,5.0059,8.4956,638.0,0.0,0.0,1,0,2026-09-10T14:37:34.306504Z
da553d,KL218,38815.0,348.0,48.0,12.914,7.656,-698.0,0.0,0.0,1,0,2026-09-10T14:37:34.306511Z
7ed3e7,KL873,34225.0,261.0,4.0,9.6148,11.1771,1037.0,0.0,0.0,1,0,2026-09-10T14:37:34.306517Z
7c2d99,AA476,25025.0,260.0,230.0,5.7012,13.9065,993.0,0.0,0.0,1,0,2026-09-10T14:37:34.306524Z
cc9bbd,SQ130,9.0,24.0,8.0,11.134,9.7657,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306530Z
1b32a2,QR152,27838.0,453.0,31.0,5.2305,7.9221,-1807.0,0.0,0.0,1,0,2026-09-10T14:37:34.306537Z
c946af,KL974,13465.0,454.0,154.0,8.3608,8.748,428.0,0.0,0.0,1,0,2026-09-10T14:37:34.306543Z
63cb08,SQ751,24.0,27.0,187.0,12.1019,13.1037,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306549Z
df60e4,KL877,39456.0,459.0,188.0,4.5506,7.7419,-1915.0,0.0,0.0,1,0,2026-09-10T14:37:34.306556Z
247114,LH363,4.0,19.0,182.0,12.9176,5.3688,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306565Z
ecf49f,EK878,16552.0,345.0,44.0,10.0522,11.3463,-1511.0,0.0,0.0,1,0,2026-09-10T14:37:34.306571Z
b88826,QR728,11882.0,317.0,86.0,10.1826,14.0396,1848.0,0.0,0.0,1,0,2026-09-10T14:37:34.306578Z
757d14,LH641,15.0,2.0,337.0,8.618,13.9128,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306584Z
6f01c6,DL900,28622.0,487.0,13.0,7.3697,6.5648,-1848.0,0.0,0.0,1,0,2026-09-10T14:37:34.306591Z
1b0d7e,SQ305,35196.0,320.0,5.0,9.6313,6.2089,542.0,0.0,0.0,1,0,2026-09-10T14:37:34.306597Z
957fb4,KL618,43.0,12.0,153.0,4.678,7.198,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306603Z
3ca382,LH441,17206.0,507.0,142.0,4.0332,8.0065,-1334.0,0.0,0.0,1,0,2026-09-10T14:37:34.306609Z
f185f9,BA248,14063.0,494.0,217.0,5.6069,8.8925,1163.0,0.0,0.0,1,0,2026-09-10T14:37:34.306616Z
9bf27c,AF518,46.0,25.0,81.0,13.2332,7.4186,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306621Z
cdc76d,LH640,50.0,7.0,197.0,9.7898,4.3816,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306629Z
6362d3,LH820,37898.0,470.0,16.0,11.8137,12.6856,1386.0,0.0,0.0,1,0,2026-09-10T14:37:34.306637Z
d9fad4,BA190,28795.0,352.0,146.0,4.0393,12.2582,-40.0,0.0,0.0,0,0,2026-09-10T14:37:34.306643Z
9ca4c9,LH337,35.0,9.0,277.0,6.0695,12.272,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306649Z
c68c31,DL814,43.0,24.0,276.0,11.707,8.385,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306655Z
34910e,SQ953,36031.0,327.0,34.0,6.8877,10.344,-1226.0,0.0,0.0,1,0,2026-09-10T14:37:34.306662Z
d648a1,AA455,26229.0,468.0,120.0,6.0432,5.3803,-1758.0,0.0,0.0,1,0,2026-09-10T14:37:34.306669Z
2568ad,UA930,0.0,22.0,87.0,4.4787,10.0344,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306675Z
a5b6fb,SQ838,28942.0,429.0,238.0,8.7168,13.7976,-1631.0,0.0,0.0,1,0,2026-09-10T14:37:34.306684Z
5ec27e,EK521,30.0,22.0,43.0,10.9499,9.8626,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306692Z
3722a2,SQ350,35093.0,341.0,119.0,10.8253,8.9398,946.0,0.0,0.0,1,0,2026-09-10T14:37:34.306702Z
f55985,QR295,9232.0,382.0,172.0,12.2542,8.1534,-878.0,0.0,0.0,1,0,2026-09-10T14:37:34.306709Z
df0467,SQ784,26449.0,509.0,44.0,4.547,7.4573,915.0,0.0,0.0,1,0,2026-09-10T14:37:34.306717Z
95e62c,EK398,33.0,24.0,336.0,8.3822,4.1053,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306724Z
f97965,KL981,37478.0,448.0,343.0,5.1985,3.1762,513.0,0.0,0.0,1,0,2026-09-10T14:37:34.306731Z
068703,LH125,29.0,7.0,219.0,9.0024,7.2947,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306739Z
b4512b,EK498,11.0,22.0,323.0,5.8568,11.016,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306746Z
77ddee,BA465,13486.0,390.0,29.0,5.9247,11.9591,-983.0,0.0,0.0,1,0,2026-09-10T14:37:34.306754Z
82059f,UA272,32375.0,426.0,65.0,7.6837,2.5469,757.0,0.0,0.0,1,0,2026-09-10T14:37:34.306761Z
847d16,UA506,46.0,21.0,246.0,6.1088,14.314,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306768Z
c9c3e1,EK292,6867.0,354.0,223.0,12.0076,12.367,350.0,0.0,0.0,1,0,2026-09-10T14:37:34.306777Z
91dccc,KL281,25.0,26.0,131.0,11.2194,10.4109,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306784Z
2dc847,QR887,17046.0,472.0,266.0,10.0096,6.7996,216.0,0.0,0.0,1,0,2026-09-10T14:37:34.306791Z
39cd40,EK306,2.0,10.0,317.0,4.0192,9.3311,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306798Z
898005,BA790,27509.0,458.0,139.0,4.5647,3.4713,-564.0,0.0,0.0,1,0,2026-09-10T14:37:34.306809Z
5588fe,UA353,43.0,5.0,132.0,9.5539,3.1071,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306816Z
1375f1,AA625,46.0,9.0,198.0,6.3764,13.0888,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306823Z
1bdb9b,,45.0,1.0,339.0,5.4408,6.6286,0.0,0.0,0.0,0,1,2026-09-10T14:37:34.306830Z
fd3afe,EK960,16162.0,274.0,225.0,12.7523,11.5351,534.0,0.0,0.0,1,0,2026-09-10T14:37:34.306838Z
b56ba6,QR918,72000.0,469.0,103.0,11.971,7.3913,511.0,0.0,0.0,1,1,2026-09-10T14:37:34.306846Z
03b4ad,QR850,14261.0,506.0,167.0,9.9179,9.5229,-1349.0,0.0,0.0,1,0,2026-09-10T14:37:34.306858Z
d7a9cc,EK761,35792.0,499.0,194.0,10.3401,7.8986,30.0,0.0,0.0,0,0,2026-09-10T14:37:34.306866Z
14bed2,EK116,16.0,22.0,92.0,8.5996,8.1896,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306874Z
209168,AF765,29922.0,317.0,324.0,12.3667,5.6337,-780.0,0.0,0.0,1,0,2026-09-10T14:37:34.306881Z
7a5ed5,SQ213,34.0,25.0,358.0,9.686,14.1959,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306889Z
1b7b72,UA897,19.0,12.0,306.0,12.8453,2.8229,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306896Z
e7fb5e,SQ202,3.0,7.0,185.0,9.233,8.6208,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306903Z
1d40c7,LH162,13.0,28.0,306.0,10.2466,7.6678,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306910Z
e0d768,BA737,38.0,18.0,188.0,4.728,2.7966,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306917Z
0c0584,UA972,33994.0,356.0,185.0,12.6242,6.8936,-866.0,0.0,0.0,1,0,2026-09-10T14:37:34.306925Z
25f2eb,DL233,47.0,19.0,350.0,11.9766,14.1287,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306934Z
4a7af8,KL595,0.0,16.0,75.0,8.514,6.9608,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306942Z
b6b288,EK680,16.0,1.0,313.0,6.4802,7.5584,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306949Z
f5f732,QR661,30.0,30.0,106.0,13.2443,6.3374,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306956Z
c17a9f,UA685,5083.0,499.0,345.0,11.727,11.1241,-652.0,0.0,0.0,1,0,2026-09-10T14:37:34.306965Z
bc50f7,BA784,8392.0,273.0,166.0,12.9074,7.884,671.0,0.0,0.0,1,0,2026-09-10T14:37:34.306973Z
f54b47,SQ276,36.0,25.0,30.0,4.8017,9.8594,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.306980Z
35429c,KL957,38464.0,282.0,355.0,8.3735,5.8563,1170.0,0.0,0.0,1,0,2026-09-10T14:37:34.307015Z
83d205,LH235,34644.0,515.0,327.0,7.5188,10.1313,-2000.0,0.0,0.0,1,0,2026-09-10T14:37:34.307026Z
d3559c,QR769,23058.0,400.0,115.0,9.3086,3.4233,-1311.0,0.0,0.0,1,0,2026-09-10T14:37:34.307034Z
35e1be,UA408,26357.0,404.0,31.0,4.0894,6.7044,-836.0,0.0,0.0,1,0,2026-09-10T14:37:34.307044Z
9bd92c,LH804,45.0,18.0,119.0,13.0917,14.0322,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307051Z
1a62f7,AF167,23862.0,471.0,126.0,5.0062,7.8853,-1416.0,0.0,0.0,1,0,2026-09-10T14:37:34.307059Z
d55f52,KL332,1.0,1.0,13.0,8.3599,13.4339,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307066Z
8c94d1,KL464,34909.0,351.0,102.0,7.8823,7.2461,446.0,0.0,0.0,1,0,2026-09-10T14:37:34.307073Z
880a3c,AF172,22.0,15.0,299.0,4.5128,11.8161,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307080Z
a2b941,QR932,21.0,21.0,284.0,8.3897,9.3254,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307088Z
68c37e,KL762,38949.0,479.0,198.0,5.3341,8.2001,-406.0,0.0,0.0,1,0,2026-09-10T14:37:34.307096Z
e51ba0,KL523,37832.0,378.0,130.0,5.0152,2.5986,-80.0,0.0,0.0,0,0,2026-09-10T14:37:34.307103Z
e5db87,UA331,21231.0,501.0,236.0,7.3333,12.1906,-394.0,0.0,0.0,1,0,2026-09-10T14:37:34.307111Z
8d3535,KL857,38888.0,264.0,150.0,10.9549,8.0098,-431.0,0.0,0.0,1,0,2026-09-10T14:37:34.307120Z
97032d,BA309,31.0,17.0,169.0,5.3341,4.1564,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307127Z
2ca650,AA862,20.0,7.0,139.0,9.0645,4.5204,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307135Z
c01ef0,AA391,28373.0,356.0,73.0,5.1183,7.3633,-535.0,0.0,0.0,1,0,2026-09-10T14:37:34.307149Z
a95b63,EK300,19661.0,318.0,310.0,11.6281,11.0405,273.0,0.0,0.0,1,0,2026-09-10T14:37:34.307160Z
f75ca2,QR243,32.0,25.0,326.0,13.1802,13.0974,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307170Z
08066f,DL387,41.0,0.0,66.0,4.6212,9.0563,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307183Z
afc2e0,QR582,16.0,29.0,194.0,7.7343,5.1141,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307194Z
